时间,XX进口压力,XX出口压力,XX进口温度,XX出口温度,XX过滤器压差1号,XX过滤器压差2号,XX天然气泄漏浓度1号,XX天然气泄漏浓度2号,XX1号流量计温度,XX1号流量计压力,XX1号流量计工况瞬时流量,XX1号流量计标况瞬时流量,XX1号流量计工况累计流量,XX1号流量计标况累计流量,XX2号流量计温度,XX2号流量计压力,XX2号流量计工况瞬时流量,XX2号流量计标况瞬时流量,XX2号流量计工况累计流量,XX2号流量计标况累计流量
2023-04-0504:51:40,3.49,220.56,16.51,0.57,18.58,18.1,0,0.04,14.24,311.73,0,0,64671340,133277752,0.66,320.63,1986.1,6775.66,77731912,256643536
2023-04-0504:56:42,3.49,219.43,16.52,0.6,18.24,17.74,0,0.11,14.21,311.7,0,0,64671340,133277752,0.71,319.68,1822.7,6198.65,77732064,256644048
2023-04-0505:01:37,3.49,218.97,16.54,0.83,12.57,12.02,0,0.09,14.16,311.6,0,0,64671340,133277752,0.98,320.17,1265.9,4307.57,77732176,256644464
2023-04-0505:06:38,3.49,219.31,16.51,0.69,18.72,18.24,0,0.13,14.13,311.53,0,0,64671340,133277752,0.79,319.53,1900.9,6459.61,77732328,256644960
2023-04-0505:11:40,3.49,219.37,16.51,0.66,17.4,16.89,0,0.21,14.07,311.48,0,0,64671340,133277752,0.79,319.64,1761.4,5987.63,77732480,256645472
2023-04-0505:16:41,3.49,218.06,16.52,0.65,18.95,18.47,0,0.06,14.02,311.46,0,0,64671340,133277752,0.77,318.51,1729.7,5859.46,77732632,256645984
2023-04-0505:21:42,3.49,217.81,16.5,0.6,19.86,19.37,0,0.1,13.98,311.41,0,0,64671340,133277752,0.67,318.03,1972.5,6674.36,77732792,256646528
2023-04-0505:26:48,3.49,218.57,16.51,0.57,19.72,19.23,0,0.05,13.92,311.34,0,0,64671340,133277752,0.65,318.67,1945.9,6598.09,77732944,256647040
2023-04-0505:31:45,3.49,219.73,16.51,0.6,17.22,16.73,0,0,13.85,311.26,0,0,64671340,133277752,0.72,320.06,1756,5978.6,77733112,256647616
2023-04-0505:36:40,3.49,221.78,16.51,0.62,14.35,13.82,0,0,13.82,311.19,0,0,64671340,133277752,0.73,321.72,1766.8,6046.8,77733264,256648128
2023-04-0505:41:41,3.48,220.07,16.5,0.6,18.82,18.34,0,0.03,13.78,311.18,0,0,64671340,133277752,0.72,320.1,1959.1,6670.83,77733408,256648640
2023-04-0505:46:38,3.48,217.2,16.5,0.51,24.06,23.62,0,0,13.69,311.14,0,0,64671340,133277752,0.6,317.43,2258.8,7630.58,77733584,256649216
2023-04-0505:51:38,3.48,218.57,16.51,0.53,23.57,23.14,0,0.23,13.66,311.13,0,0,64671340,133277752,0.61,318.69,2215.3,7512.79,77733768,256649856
2023-04-0505:56:40,3.48,217.81,16.51,0.53,23.89,23.45,0,0.1,13.64,311.06,0,0,64671340,133277752,0.63,317.98,2241.2,7583.05,77733960,256650496
2023-04-0506:01:41,3.48,218.39,16.51,0.53,23.67,23.25,0,0.15,13.6,311.01,0,0,64671340,133277752,0.6,318.4,2223.9,7535.32,77734144,256651104
2023-04-0506:06:42,3.48,218.82,16.54,0.53,23.37,22.91,0,0.13,13.58,310.96,0,0,64671340,133277752,0.61,318.95,2206.8,7489.96,77734320,256651712
2023-04-0506:11:38,3.48,219.03,16.53,0.55,23,22.56,0,0,13.52,310.91,0,0,64671340,133277752,0.64,319.15,2181.8,7408.97,77734512,256652352
2023-04-0506:16:39,3.48,218.6,16.52,0.53,23.06,22.59,0,0.11,13.49,310.86,0,0,64671340,133277752,0.6,318.98,2173.5,7378.05,77734688,256652976
2023-04-0506:21:40,3.48,218.73,16.53,0.51,23,22.57,0,0,13.42,310.84,0,0,64671340,133277752,0.59,318.96,2181.8,7406.07,77734872,256653584
2023-04-0506:26:50,3.48,217.54,16.53,0.46,23.7,23.26,0,0.07,13.41,310.81,0,0,64671340,133277752,0.53,317.92,2232.5,7555.11,77735032,256654128
2023-04-0506:31:43,3.48,217.96,16.53,0.4,24.02,23.6,0,0.03,13.4,310.79,0,0,64671340,133277752,0.51,318.27,2241.2,7593.61,77735240,256654832
2023-04-0506:36:38,3.48,219.49,16.55,0.4,22.95,22.48,0,0,13.37,310.74,0,0,64671340,133277752,0.47,319.79,2181.8,7428.65,77735424,256655440
2023-04-0506:41:40,3.48,218.88,16.55,0.42,21.7,21.25,0,0,13.34,310.69,0,0,64671340,133277752,0.52,319.09,2064.4,7012.39,77735600,256656064
2023-04-0506:46:41,3.49,219.15,16.53,0.47,19.31,18.82,0,0,13.3,310.67,0,0,64671340,133277752,0.58,319.64,1864,6341.58,77735760,256656608
2023-04-0506:51:42,3.49,219.58,16.54,0.52,18.96,18.46,0,0,13.27,310.64,0,0,64671340,133277752,0.61,319.88,1858,6325.17,77735920,256657152
2023-04-0506:56:38,3.49,219.18,16.53,0.49,20.53,20.05,0,0,13.23,310.59,0,0,64671340,133277752,0.58,319.53,1993,6778.13,77736088,256657728
2023-04-0507:01:39,3.49,218.36,16.53,0.49,20.79,20.3,0,0,13.22,310.59,0,0,64671340,133277752,0.61,318.76,2021,6856.12,77736248,256658272
2023-04-0507:06:40,3.48,219.18,16.53,0.5,20.08,19.59,0,0.02,13.18,310.56,0,0,64671340,133277752,0.6,319.64,1959.1,6664.66,77736408,256658816
2023-04-0507:11:41,3.48,219.18,16.52,0.44,20.83,20.34,0,0,13.15,310.52,0,0,64671340,133277752,0.55,319.66,2021,6876.87,77736592,256659424
2023-04-0507:16:37,3.48,218.36,16.52,0.45,20.93,20.44,0,0,13.13,310.52,0,0,64671340,133277752,0.54,318.76,2006.9,6810.03,77736752,256659968
2023-04-0507:21:39,3.48,217.51,16.51,0.45,21.58,21.1,0,0.03,13.09,310.52,0,0,64671340,133277752,0.54,317.96,2049.8,6938.06,77736920,256660544
2023-04-0507:26:49,3.48,218.91,16.53,0.42,21.94,21.46,0,0.1,13.08,310.5,0,0,64671340,133277752,0.51,319.33,2102.1,7145.94,77737080,256661088
2023-04-0507:31:46,3.49,217.78,16.52,0.48,19.43,18.94,0,0,13.07,310.49,0,0,64671340,133277752,0.59,318.25,1932.8,6546.39,77737216,256661568
2023-04-0507:36:42,3.48,217.29,16.5,0.41,21.85,21.36,0,0.08,13.05,310.47,0,0,64671340,133277752,0.52,317.65,2057.1,6956,77737392,256662144
2023-04-0507:41:38,3.49,217.84,16.53,0.58,15.31,14.78,0,0.02,13.04,310.45,0,0,64671340,133277752,0.71,318.38,1469.3,4976.53,77737520,256662592
2023-04-0507:46:39,3.48,217.38,16.51,0.45,23.46,23.01,0,0,13.04,310.44,0,0,64671340,133277752,0.53,317.52,2173.5,7346.21,77737672,256663088
2023-04-0507:51:40,3.48,218.91,16.52,0.46,22.97,22.5,0,0,13.03,310.44,0,0,64671340,133277752,0.54,319.22,2190,7441.31,77737856,256663744
2023-04-0507:56:41,3.48,217.29,16.51,0.55,20.5,20.01,0,0,13.01,310.42,0,0,64671340,133277752,0.65,317.63,1959.1,6621.2,77738000,256664208
2023-04-0508:01:37,3.48,217.75,16.5,0.49,23.55,23.08,0,0,13,310.42,0,0,64671340,133277752,0.57,318.12,2215.3,7500.6,77738176,256664816
2023-04-0508:06:38,3.48,217.84,16.5,0.36,23.93,23.48,0,0.05,12.99,310.42,0,0,64671340,133277752,0.45,318.36,2232.5,7567.95,77738360,256665440
2023-04-0508:11:39,3.48,218.85,16.5,0.39,22.55,22.09,0,0.05,12.98,310.4,0,0,64671340,133277752,0.47,319.4,2133.3,7254.79,77738552,256666080
2023-04-0508:16:41,3.48,219.37,16.51,0.4,22.41,21.92,0,0.06,12.97,310.4,0,0,64671340,133277752,0.48,319.73,2133.3,7262,77738728,256666688
2023-04-0508:21:42,3.48,219.21,16.52,0.45,22.28,21.81,0,0,12.96,310.39,0,0,64671340,133277752,0.55,319.77,2117.6,7207.54,77738896,256667264
2023-04-0508:26:48,3.48,218.6,16.53,0.45,21.94,21.46,0,0,12.96,310.39,0,0,64671340,133277752,0.54,318.98,2094.5,7111.66,77739056,256667808
2023-04-0508:31:45,3.48,218.57,16.51,0.41,22.32,21.86,0,0,12.94,310.37,0,0,64671340,133277752,0.49,318.91,2125.4,7216.24,77739248,256668464
2023-04-0508:36:40,3.48,218.6,16.53,0.44,22.23,21.76,0,0,12.93,310.37,0,0,64671340,133277752,0.53,319.24,2109.8,7169.62,77739432,256669072
2023-04-0508:41:41,3.48,218.24,16.53,0.42,22.82,22.35,0,0,12.92,310.34,0,0,64671340,133277752,0.49,318.69,2157.3,7319.52,77739608,256669680
2023-04-0508:46:37,3.48,219.89,16.53,0.39,19.88,19.4,0,0.02,12.91,310.35,0,0,64671340,133277752,0.49,320.41,2013.9,6870.33,77739792,256670288
2023-04-0508:51:38,3.48,218.42,16.53,0.38,21.51,21.03,0,0,12.92,310.35,0,0,64671340,133277752,0.48,318.89,2028.1,6886.31,77739952,256670832
2023-04-0508:56:40,3.48,219.49,16.53,0.4,20.46,19.98,0,0.06,12.91,310.35,0,0,64671340,133277752,0.48,319.97,1979.3,6743.31,77740120,256671408
2023-04-0509:01:41,3.48,218.36,16.51,0.41,21.49,21.03,0,0.07,12.92,310.35,0,0,64671340,133277752,0.48,318.89,2035.3,6910.76,77740288,256672000
2023-04-0509:06:42,3.48,217.14,16.52,0.38,24.27,23.83,0,0.14,12.92,310.34,0,0,64671340,133277752,0.47,317.39,2241.2,7573.86,77740464,256672576
2023-04-0509:11:38,3.48,218.42,16.52,0.34,23.3,22.85,0,0,12.92,310.34,0,0,64671340,133277752,0.44,318.93,2198.4,7465.96,77740640,256673184
2023-04-0509:16:40,3.48,218.82,16.51,0.38,23.07,22.6,0,0.05,12.92,310.35,0,0,64671340,133277752,0.45,319.35,2165.4,7363.29,77740832,256673824
2023-04-0509:21:40,3.48,218.97,16.51,0.4,21.83,21.35,0,0,12.91,310.34,0,0,64671340,133277752,0.49,319.64,2057.1,7000.43,77741000,256674400
2023-04-0509:26:51,3.48,219.95,16.53,0.4,20.41,19.93,0,0.03,12.92,310.3,0,0,64671340,133277752,0.48,320.64,2064.4,7048.08,77741160,256674944
2023-04-0509:31:43,3.48,220.44,16.53,0.5,17.45,16.94,0,0,12.89,310.27,0,0,64671340,133277752,0.6,320.83,1777.7,6070.06,77741344,256675568
2023-04-0509:36:38,3.48,220.44,16.52,0.5,17.31,16.81,0,0.04,12.9,310.25,0,0,64671340,133277752,0.63,321.01,1772.2,6054.08,77741488,256676080
2023-04-0509:41:40,3.48,217.44,16.51,0.48,23.16,22.7,0,0,12.89,310.24,0,0,64671340,133277752,0.57,317.92,2181.8,7382.66,77741664,256676656
2023-04-0509:46:41,3.48,218.09,16.51,0.45,22.41,21.95,0,0.2,12.88,310.22,0,0,64671340,133277752,0.54,318.67,2109.8,7156.65,77741840,256677264
2023-04-0509:51:42,3.48,220.89,16.53,0.45,16.94,16.43,0,0.02,12.88,310.22,0,0,64671340,133277752,0.54,321.47,1828.5,6257.41,77742000,256677808
2023-04-0509:56:38,3.49,221.9,16.53,0.56,9.01,8.44,0,0.12,12.88,310.22,0,0,64671340,133277752,0.7,322.78,1503.9,5164.72,77742144,256678288
2023-04-0510:01:39,3.48,218.39,16.52,0.63,14.58,14.04,0,0,12.86,310.22,0,0,64671340,133277752,0.76,319.07,1535.9,5212.7,77742248,256678656
2023-04-0510:06:40,3.48,217.66,16.51,0.53,20.42,19.94,0,0.1,12.86,310.2,0,0,64671340,133277752,0.63,317.96,1945.9,6583.62,77742392,256679136
2023-04-0510:11:41,3.48,220.07,16.51,0.45,16.94,16.43,0,0,12.87,310.2,0,0,64671340,133277752,0.57,320.63,1729.7,5902.75,77742544,256679648
2023-04-0510:16:37,3.48,219.98,16.52,0.34,18.07,17.57,0,0.08,12.87,310.19,0,0,64671340,133277752,0.44,320.64,1926.3,6577.15,77742704,256680192
2023-04-0510:21:39,3.48,218.7,16.51,0.24,19.45,18.96,0,0,12.86,310.19,0,0,64671340,133277752,0.33,319.18,1919.9,6528.27,77742848,256680704
2023-04-0510:26:49,3.48,219.58,16.53,0.26,17.72,17.22,0,0.06,12.86,310.19,0,0,64671340,133277752,0.36,320.33,1777.7,6065.86,77742992,256681184
2023-04-0510:31:46,3.48,219.37,16.52,0.28,18.29,17.79,0,0,12.84,310.17,0,0,64671340,133277752,0.4,319.99,1840.2,6271.42,77743160,256681760
2023-04-0510:36:42,3.48,218.27,16.53,0.33,19.2,18.71,0,0.07,12.86,310.19,0,0,64671340,133277752,0.44,318.91,1864,6330.2,77743312,256682272
2023-04-0510:41:38,3.48,217.05,16.53,0.4,20.89,20.41,0,0,12.86,310.2,0,0,64671340,133277752,0.53,317.74,1979.3,6694.92,77743472,256682816
2023-04-0510:46:39,3.49,219.76,16.56,0.64,11.08,10.51,0,0.16,12.86,310.2,0,0,64671340,133277752,0.79,320.74,1263.1,4308.58,77743600,256683264
2023-04-0510:51:40,3.48,219.18,16.52,0.58,19.86,19.37,0,0.14,12.87,310.22,0,0,64671340,133277752,0.7,318.98,1999.9,6786.48,77743744,256683728
2023-04-0510:56:41,3.48,219.37,16.54,0.71,11.99,11.43,0,0.02,12.86,310.22,0,0,64671340,133277752,0.89,320.08,1099.2,3740.59,77743872,256684176
2023-04-0511:01:37,3.49,220.65,16.55,0.87,8.26,7.67,0,0,12.9,310.27,0,0,64671340,133277752,1.06,321.27,1053,3594.23,77743960,256684480
2023-04-0511:06:39,3.49,221.02,16.54,0.93,8,7.41,0,0.03,12.89,310.29,0,0,64671340,133277752,1.13,321.7,1032.2,3527.14,77744048,256684784
2023-04-0511:11:40,3.49,221.05,16.55,0.95,8.01,7.43,0,0.19,12.9,310.32,0,0,64671340,133277752,1.18,321.63,1032.2,3525.69,77744128,256685056
2023-04-0511:16:41,3.49,220.56,16.53,0.98,8.1,7.52,0,0.15,12.94,310.37,0,0,64671340,133277752,1.2,321.17,1028.5,3507.81,77744224,256685376
2023-04-0511:21:42,3.49,220.56,16.55,1.01,8.07,7.48,0,0,12.98,310.42,0,0,64671340,133277752,1.26,321.16,1017.6,3469.68,77744304,256685648
2023-04-0511:26:47,3.49,220.86,16.53,1.06,8,7.43,0,0,13.01,310.45,0,0,64671340,133277752,1.27,321.41,1026.7,3503.37,77744384,256685920
2023-04-0511:31:44,3.49,220.86,16.53,1.07,7.99,7.42,0,0.02,13.05,310.47,0,0,64671340,133277752,1.29,321.47,1034.1,3528.96,77744480,256686256
2023-04-0511:36:40,3.49,221.17,16.53,1.05,7.87,7.3,0,0,13.07,310.5,0,0,64671340,133277752,1.29,321.76,1021.2,3488.11,77744560,256686528
2023-04-0511:41:41,3.49,220.56,16.51,1.05,7.87,7.29,0,0,13.08,310.5,0,0,64671340,133277752,1.29,321.27,1014,3458.21,77744640,256686800
2023-04-0511:46:37,3.49,220.83,16.52,0.99,9.03,8.46,0,0.22,13.1,310.52,0,0,64671340,133277752,1.18,321.27,1185.1,4043.36,77744728,256687104
2023-04-0511:51:39,3.49,220.74,16.5,0.98,8.37,7.79,0,0,13.1,310.54,0,0,64671340,133277752,1.16,321.21,1062.7,3625.4,77744816,256687424
2023-04-0511:56:40,3.49,220.37,16.52,0.98,8.37,7.78,0,0,13.09,310.52,0,0,64671340,133277752,1.16,320.99,1047.2,3570.05,77744912,256687728
2023-04-0512:01:41,3.49,220.56,16.52,0.95,8.57,8,0,0.01,13.1,310.54,0,0,64671340,133277752,1.13,321.12,1074.6,3665.31,77745000,256688032
2023-04-0512:06:37,3.49,220.37,16.5,0.9,9.34,8.78,0,0,13.1,310.54,0,0,64671340,133277752,1.04,320.9,1158.9,3951.44,77745088,256688336
2023-04-0512:11:38,3.49,220.37,16.51,0.84,9.95,9.39,0,0.2,13.11,310.54,0,0,64671340,133277752,1,320.83,1207.5,4116.81,77745192,256688672
2023-04-0512:16:39,3.49,220.07,16.51,0.81,10.94,10.38,0,0.02,13.12,310.56,0,0,64671340,133277752,0.96,320.55,1300.2,4429.72,77745288,256689024
2023-04-0512:21:40,3.48,219.61,16.51,0.75,11.8,11.25,0,0.08,13.12,310.56,0,0,64671340,133277752,0.89,320.15,1364.9,4645.56,77745400,256689392
2023-04-0512:26:51,3.49,220.19,16.51,0.72,11.33,10.79,0,0,13.12,310.56,0,0,64671340,133277752,0.88,320.68,1321,4503.75,77745504,256689728
2023-04-0512:31:43,3.48,220.1,16.5,0.68,12.57,12.03,0,0,13.14,310.57,0,0,64671340,133277752,0.82,320.5,1439.9,4907.39,77745632,256690176
2023-04-0512:36:38,3.49,220.07,16.51,0.69,10.9,10.36,0,0,13.17,310.59,0,0,64671340,133277752,0.86,320.57,1260.3,4295.64,77745744,256690560
2023-04-0512:41:40,3.48,219.52,16.48,0.52,16.26,15.75,0,0.02,13.21,310.62,0,0,64671340,133277752,0.65,320.19,1694,5771.11,77745888,256691056
2023-04-0512:46:41,3.49,219.98,16.5,0.49,14.89,14.37,0,0,13.25,310.62,0,0,64671340,133277752,0.6,320.57,1591.1,5428.46,77746032,256691536
2023-04-0512:51:42,3.49,219.21,16.5,0.45,16.5,15.99,0,0,13.25,310.62,0,0,64671340,133277752,0.55,319.79,1714.2,5835.25,77746168,256692016
2023-04-0512:56:38,3.49,219.76,16.51,0.46,16.03,15.52,0,0.12,13.27,310.62,0,0,64671340,133277752,0.55,320.04,1674.3,5704,77746312,256692496
